start_city1,max_benefit_agent_1,min_benefit_agent_1,avg_ben_a_1,max_cost_agent_1,min_cost_agent_1,avg_cost_a_1,start_city2,max_benefit_agent_2,min_benefit_agent_2,avg_ben_a_2,max_cost_agent_2,min_cost_agent_2,avg_cost_a_2,avg_time,std_deviation
9,2850,0,1155.000,2.676800e+03,0,1079.300,3,3000,150,1845.000,2.676800e+03,0,1729.700,9.875,5.814
9,2400,0,1185.000,2.243200e+03,0,1119.880,4,3000,600,1815.000,2.243200e+03,0,1689.220,9.474,6.000
9,2850,750,1890.000,2.662600e+03,6.832000e+02,1769.140,5,2250,150,1110.000,2.662600e+03,6.832000e+02,1037.820,9.688,5.491
9,3000,600,1680.000,2.809800e+03,568,1568.320,6,2400,0,1320.000,2.809800e+03,568,1237.160,9.869,4.765
9,2550,0,1305.000,2397,0,1210.620,7,3000,450,1695.000,2397,0,1599.760,9.544,5.185
9,2250,0,1140.000,2102,0,1071.760,8,3000,750,1860.000,2102,0,1735.940,9.644,5.261
9,0,0,0.000,0,0,0.000,9,0,0,0.000,0,0,0.000,0.000,0.000
9,2700,0,1500.000,2.536200e+03,0,1401.940,10,3000,300,1500.000,2.536200e+03,0,1406.300,9.708,5.410
9,3000,600,1650.000,2.800200e+03,5.444000e+02,1547.520,11,2400,0,1350.000,2.800200e+03,5.444000e+02,1260.440,9.642,4.707
9,3000,0,1470.000,2808,0,1378.680,12,3000,0,1530.000,2808,0,1427.920,9.870,5.329
9,2550,0,1650.000,2380,0,1547.720,13,3000,450,1350.000,2380,0,1257.880,9.512,4.688
9,2100,600,1425.000,1.969400e+03,5.574000e+02,1332.220,14,2400,900,1575.000,1.969400e+03,5.574000e+02,1475.200,9.728,2.502
9,2400,900,1530.000,2.248400e+03,8.264000e+02,1434.140,15,2100,600,1470.000,2.248400e+03,8.264000e+02,1373.660,9.741,3.812
9,2850,0,1800.000,2.688600e+03,0,1679.840,16,3000,150,1200.000,2.688600e+03,0,1124.820,9.872,5.475
9,2850,0,1695.000,2.671600e+03,0,1586.520,17,3000,150,1305.000,2.671600e+03,0,1219.640,9.689,5.114
9,2850,0,1500.000,2688,0,1400.080,18,3000,150,1500.000,2688,0,1406.020,9.687,5.617
9,2700,600,1485.000,2.514600e+03,5.612000e+02,1397.340,19,2400,300,1515.000,2.514600e+03,5.612000e+02,1414.040,9.671,4.922
9,3000,0,1200.000,2.823200e+03,0,1125.040,20,3000,0,1800.000,2.823200e+03,0,1683.200,9.734,6.019
10,1950,0,1080.000,1823,0,1002.140,1,3000,1050,1920.000,1823,0,1804.340,10.145,5.020
10,2850,0,1380.000,2.670800e+03,0,1298.220,2,3000,150,1620.000,2.670800e+03,0,1505.140,9.746,5.313
10,2100,0,1080.000,1.939800e+03,0,1017.020,3,3000,900,1920.000,1.939800e+03,0,1788.480,9.920,5.902
10,2250,900,1560.000,2.097600e+03,8.552000e+02,1460.860,4,2100,750,1440.000,2.097600e+03,8.552000e+02,1341.960,10.166,2.768
10,3000,750,1545.000,2.815800e+03,6.914000e+02,1444.720,5,2250,0,1455.000,2.815800e+03,6.914000e+02,1365.460,9.806,4.137
10,1950,0,1320.000,1.831400e+03,0,1239.540,6,3000,1050,1680.000,1.831400e+03,0,1569.060,9.573,4.017
10,2700,1200,1575.000,2535,1.120800e+03,1483.640,7,1800,300,1425.000,2535,1.120800e+03,1319.820,9.903,3.212
10,3000,900,1665.000,2.798400e+03,8.348000e+02,1561.740,8,2100,0,1335.000,2.798400e+03,8.348000e+02,1250.740,9.622,4.169
10,3000,900,2100.000,2.819400e+03,8.264000e+02,1963.040,9,2100,0,900.000,2.819400e+03,8.264000e+02,847.420,9.951,5.657
10,0,0,0.000,0,0,0.000,10,0,0,0.000,0,0,0.000,0.000,0.000
10,2850,300,1620.000,2674,269,1516.020,11,2700,150,1380.000,2674,269,1293.760,9.654,5.188
10,3000,0,1650.000,2.818600e+03,0,1549.940,12,3000,0,1350.000,2.818600e+03,0,1256.380,10.109,4.907
10,1950,0,1125.000,1.841600e+03,0,1052.060,13,3000,1050,1875.000,1.841600e+03,0,1750.640,9.725,4.083
10,1950,0,1140.000,1.833400e+03,0,1061.060,14,3000,1050,1860.000,1.833400e+03,0,1745.080,9.894,4.776
10,2250,1050,1470.000,2.104200e+03,9.796000e+02,1369.260,15,1950,750,1530.000,2.104200e+03,9.796000e+02,1435.560,9.703,2.228
10,2850,600,1605.000,2.660800e+03,5.672000e+02,1500.100,16,2400,150,1395.000,2.660800e+03,5.672000e+02,1305.720,10.031,4.658
10,3000,0,1650.000,2.801400e+03,0,1536.200,17,3000,0,1350.000,2.801400e+03,0,1274.760,9.676,5.485
10,2700,900,1755.000,2.541600e+03,7.996000e+02,1638.800,18,2100,300,1245.000,2.541600e+03,7.996000e+02,1165.400,10.040,3.707
10,3000,900,1717.500,2808,8.588000e+02,1611.780,19,2100,0,1282.500,2808,8.588000e+02,1191.320,9.773,4.090
10,1800,0,1230.000,1.672200e+03,0,1151.460,20,3000,1200,1770.000,1.672200e+03,0,1658.180,9.504,4.633
11,1950,600,1440.000,1.843800e+03,5.508000e+02,1349.060,1,2400,1050,1560.000,1.843800e+03,5.508000e+02,1457.080,9.641,2.314
11,2700,1050,1680.000,2.551600e+03,9.842000e+02,1568.120,2,1950,300,1320.000,2.551600e+03,9.842000e+02,1239.700,9.573,3.970
11,2700,0,1380.000,2.521200e+03,0,1293.340,3,3000,300,1620.000,2.521200e+03,0,1514.140,9.844,4.890
11,1800,750,1275.000,1705,7.186000e+02,1194.800,4,2250,1200,1725.000,1705,7.186000e+02,1615.820,9.375,2.749
